,content,score,time
2656,앱 개발자는 앱 만들어 놓기만 하고 관리는 안하나봐요? 고객센터 있으면 뭐하나 전화 받지도 않고 카톡 보내도 답장도 안오고ㅋㅋ 숙소는 확인도 안하고 그냥 돈만 받고 올리게 해놨나봐요.? 숙소사진은 몇년 전 사진에 일반객실 사진에 특실 사진으로 업로드해놓고 전혀 다른 객실에 위생도 별로고 예약했다가 취소하려고 전화를 몇 번이나 해도 받지도 않고 고객센터 뭐하러 만들었나요? 놀러와서 편하게 쉬려고 갔다가 기분만 망치고 돌아왔네요. 앞으로 이 앱 절대 사용 안할게요.,1,2021-11-07
2657,쓰고있어요,4,2016-06-11
2658,아주 좋습니다,5,2022-06-03
2659,가격대도다양하고 쿠폰도있어서 숙소를찾는분에게 저렴하게 이용할수있는 좋은어플이네요,5,2020-04-01
2660,좋아용,4,2018-11-30
2661,굿,4,2019-02-23
2662,좋아요,5,2018-09-05
2663,goooood,5,2019-12-03
2664,응원 열심히합니다,5,2015-10-15
2665,깨끗하고 쾌제합니다,4,2019-01-14
2666,*^~^*/,5,2015-10-29
2667,다른 앱 비교해봐도 좋아요 ㅎㅎ,5,2017-10-06
2668,muy bien,4,2018-10-02
2669,검색좋음,3,2020-11-05
2670,잘쓰고 있습니다,5,2019-11-18
2671,여기어때에 없던 장소들이 있어서요ㅎ,5,2018-07-30
2672,찾는데 도움이많이됩니다 이만한어플이 없졍,5,2019-08-22
2673,굿,5,2015-10-09
2674,간편하고 좋네요~~,5,2018-03-11
2675,할인쿠폰도 많고 길찾기도 편합니다.,5,2021-10-23
2676,좋아요,5,2020-02-01
2677,좋아요,5,2018-09-29
2678,예약하기좋아요,5,2017-05-28
2679,ㅋ,5,2015-10-15
2680,할인이많아서좋아요,5,2018-11-04
2681,좋아요,5,2017-10-28
2682,좋음,5,2017-05-15
2683,방 3개를 예약할때 1개씩 예약해야 되네요. 여러개를 한번에 예약할수 있도록 했으면 좋겠습니다.,5,2019-12-03
2684,타지역 갈때 숙소 알아보는데 유용해요,5,2021-10-14
2685,일단 몇번안해봐서 잘모르겠지만 괜찮은거같아여!,5,2017-07-30
2686,여기어때보다는 두단계이상 좋다,5,2015-08-05
2687,좋아요,5,2015-04-12
2688,잘쓰고있습니다 ㅎ,5,2019-12-14
2689,좋네용,5,2017-10-07
2690,출장시 자주사용하는데 좋아요,5,2019-04-28
2691,싸게 잘다녀온거같아요,4,2017-07-30
2692,간편하게 여기저기 둘러볼수있어서 좋네요,4,2017-05-19
2693,아아앙앙아ㅏㅇ아좋아요,5,2017-08-03
2694,아주 좋아요,5,2019-01-08
2695,적당하게쓸만함,5,2018-11-08
2696,굿국 베리굿 스트로베리 굿,4,2019-04-27
2697,좋아용,5,2019-09-17
2698,쿠폰으로 저렴하게 이용할수 있어서 좋습니다,5,2022-02-15
2699,할인받을 수 있고 펜션에 대한 많은 정보를 알수있어서 좋아요~^^,4,2020-07-20
2700,사용하기 좋아요,5,2019-08-06
2701,조아유,5,2019-04-12
2702,걍 좋음,5,2021-02-28
2703,항상좋아요,5,2019-03-28
2704,좋네요,5,2018-09-30
2705,편하니좋네요,5,2015-11-03
2706,멋져부러잉!,5,2015-05-14
2707,좋아요 편리함,4,2019-02-18
2708,너무 좋은데... 뭔가 표현할 방법이 없네..,4,2018-05-03
2709,조아요,5,2021-03-15
2710,편해서 쓰고있씅다ㅋㅋㅋㅋ,4,2022-01-11
2711,좋아요,5,2020-01-04
2712,좋네요,5,2015-05-25
2713,잘 이용하고 있습니다,5,2018-12-12
2714,할인 받아 항상 저렴하게 이용하네요~,5,2021-01-29
2715,일처리 그따구로 할거면 어플이 왜필요한지;;,1,2018-08-18
2716,편리하고 좋음,4,2019-09-10
2717,굿굿,5,2016-12-11
2718,혜택이 있네요,5,2019-10-19
2719,좋ㅇ유,5,2020-01-02
2720,좋아요,5,2019-02-22
2721,너무너무완전좋아요,5,2017-04-06
2722,좋아요^^,5,2021-03-09
2723,여행갈때 쉽게 숙소를 잡을수있어 좋네요!,5,2016-12-16
2724,생각보다 좋습니다,5,2018-01-31
2725,야놀자가 우리나라 대표죠,5,2019-06-29
2726,저렴하고 다양한 펜션중 선택할수있어 좋아요,5,2020-05-30
2727,첫사용 만족함,5,2020-01-02
2728,"친구들이랑 놀러갈때나 파티를 어디서해야할지 모르겠을때, 너무더운날 오랫동안 맘편히 놀고싶은곳을 찾을때 야놀자어플들을 많이 이용하고있어요~^^ 앞으로도 더 좋은 서비스를 제공받았으면 좋겠습니다!!짱~!!",5,2015-06-17
2729,좋음,5,2014-01-08
2730,지도 버튼을 누르면 검색한 지역(숙박시설 주변)이 나오면 좋겠는데 지금 내가 있는 곳을 보여줌,5,2019-12-28
2731,유용하게 쓰고있어요,4,2017-12-19
2732,좋아요ㅎㅎ잘쓰고있ㅇ?오ㅡ,5,2017-04-07
2733,굿,5,2020-07-21
2734,가까운곳도가능하고좋네요,4,2018-09-05
2735,숙박예약 편함. 며칠미리 예약하면 쿠폰할인되는곳 볼수있어서 좋음,5,2019-03-17
2736,빠르게 이용할때 편해요,5,2019-02-27
2737,유용하게 잘 쓰고있어용^^,5,2016-01-11
2738,데이트를 이곳에서,5,2015-05-23
2739,기분좋은여행,5,2017-09-07
2740,좋오~~다,5,2018-02-18
2741,여행다닐때 꿀팁이예요,5,2020-10-25
2742,만족,5,2019-06-13
2743,가성비구,5,2019-04-05
2744,연결도 안되고 머 이런..,1,2017-03-13
2745,검색이 쉬워요,5,2022-05-01
2746,싸게해서 넘 좋아용,5,2018-08-18
2747,좋아용,5,2017-08-02
2748,최고,5,2015-07-17
2749,좋아요,5,2019-03-01
2750,좋아요,5,2022-01-02
2751,왜 설치가 안되고 다운로드 대기중으로 계속 멈춰져 있는지 앱 거지같네,1,2018-12-06
2752,좋아요 할인쿠폰도 주고,5,2020-10-13
2753,개꿀,5,2019-06-09
2754,"낮은베개두개,바스타올 두장더 부탁드립니다",4,2021-10-13
2755,그리고 리뷰 왜 삭제한건데 이전꺼 왜지움? 통화상담 기달리라더니 끊김 와 ㅋㅋ졸라웃끼네 위에 5시 19분부터 상담신청했는데 8:46분 마지막글 쓴 다음 9시40분에 답하고 3분정도 지나고 답없으면 상담 종료한다고 공지하고 나가네 상담할려고 채팅은 4시간 기달려야하고 좋네요. 아 통화 여러번해서 해결했는데ㅋㅋ 나도 장사하는 입장이지만 이건 아닌듯한데.. 그리고 당일예약 당일 취소도 수수료 나간다는데 예약 4일남은거 취소라서 수수료 삥뜯어가는데 그 수수료 누가 먹나요? 앉아서 돈벌기 쉽네 그리고 법적으로 수수료 내야하는 규정있나요? 이건 야놀자 사내규정아닌가요?,1,2021-05-11
2756,굿굿굿굿굿,5,2019-08-03
2757,최고,5,2015-09-16
2758,간편하고 좋아요,5,2019-03-01
2759,양보다 질이다,5,2017-11-30
2760,아주 유용하게 잘 사용하고 있어요,5,2019-06-17
2761,시험치기 위해 선택했습니다,5,2018-12-21
2762,사진으로 잘 보여주고 예약하기도 편해요,4,2019-10-21
2763,갈곳이 많아요,5,2020-07-17
2764,그냥말필요없이쵝오,5,2015-09-25
2765,이게 웬 외계어,1,2012-08-27
2766,쏘굿,5,2019-02-10
2767,어플사용한지 얼마 되지않았는데 너무너무 잘 쓰고있습니다 ! 당일예약해서 할인된 금액으로 만족하며 사용합니다ㅎㅎㅎㅎ,5,2015-09-26
2768,"일단 시스템은 좋은데요.  제가 이 앱을 깔고 사용하려고 하는데, 마침 제가 카카오페이지를 보는데 잘됬다~ 학ㅎ 이걸 깔았어요.그런데 3번을 깔아도 캐시 지급이 안되네요.실행까지 다 했는데도요ㅠㅠㅠ 왜 이러는 건가요ㅠㅠㅠ",4,2017-08-12
2769,편해요,5,2015-10-23
2770,아주좋아요,5,2018-02-16
2771,간편하게 숙소예약하기 좋아요!!!,5,2021-02-18
2772,좋아요,4,2019-06-08
2773,좋아요,4,2022-02-14
2774,좋은 숙소가 많이 올라옴,5,2020-10-07
2775,최악... 연휴에 예약한 숙소가 체크인 4시간전에 일방적인 취소통보 야놀자는 해줄게 없다네요 여행 계획 다 꼬이고 싶은 분만 사용하세요,1,2022-06-04
2776,좋아요!!,5,2020-11-03
2777,좋아요.,5,2015-08-02
2778,간편하게 이용할수있어서 좋네요,5,2018-06-05
2779,알아보기 쉽게 되어있고 정보가 다양하다.,5,2020-07-23
2780,자주 애용하고 있습니다~ 너무좋아요 쿠폰도 자주 주세요,5,2017-12-09
2781,여기어때 컴바인 다꺼지셈 인터페이스가 사용하기 편함,5,2019-12-28
2782,좋아요,5,2019-12-12
2783,넘편해영,5,2019-01-14
2784,업뎃후 자동로그인인 해지되어 다시 로그인을  하라는데 비번이 가물가물 ㅜ.ㅜ 업뎃을 하든안하든 실행되었음 하네요,4,2016-07-09
2785,쿠폰이나 포인트도 적립이 되어 할인된 가격으로 이용할수 있어 좋습니다,5,2017-11-04
2786,내년 써도 될듯...........저가 야놀자때문에 놀러를 자주갑니다.ㅎㅎ호텔이 너무 많아서 못가겠어요. 너무많아서 아 어디가야할까.......라고 게속 생각해요.  쿠폰도있고 싸니까 좋네요!역시나 야놀자!,5,2016-07-24
2787,좋아여,5,2017-11-23
2788,좋아용,5,2019-01-14
2789,굳굳,5,2019-02-06
2790,그냥좋아요,4,2019-07-09
2791,야놀자 아주 유용하겠네요.,5,2015-03-18
2792,아좋내 쿠폰도 주구,5,2018-05-20
2793,편리합니다,5,2022-02-08
2794,간편하고 정리가 잘 되어 있어요,5,2019-05-14
2795,덕분에 할인받으면서 편하게 예약했습니다,5,2018-10-15
2796,좋아요,5,2019-12-25
2797,악덕 업소들한테만 유리하게 하는 야놀자 호텔야자 위생 군대 훈련소보다 더러워서 사실대로 썻고 욕설비속어도 없었고 있는그대로 후기를 남겼는데 야놀자측에서는 업장은 생계가달렸다고 후기를 블라인드시킴 그래서 어이없어서 그럼 소비자는 더러운숙박업소 가서 병걸려도되냐니까 죄송하다고? 이래서 사람들이 ㅇㄱㅇㄸ로 싹갈아타나봄 어효ㅉ 진짜 너무더럽고 불쾌하고 화장실에서 썩은내 찌린내가 진동을하는데도 방이없다고 안바꿔주고 주말이라 미리예약해놓고 늦게들어갔는데 시간늦었다고 환불도안해주고 이건뭐 노답임 그래놓고 비위생적이라니까 뭐? 법적대응? 웃기고있네 샹 한번해보쇼 어떻게되나 소비자기만하네 평일날 소비자보호원이랑 같이갈게,1,2022-04-08
2798,편하고 좋아요,5,2020-01-09
2799,놀러 자주다니는데 숙소 잡을때 좋아요 ㅎ,4,2017-07-18
2800,좋음,5,2018-02-26
2801,좋아요,5,2018-09-28
2802,담주 여행이라  필요한 앱,5,2017-05-01
2803,저렴한 모텔이 가득...,5,2019-08-17
2804,업데이트 시 로그인풀리는거 개선좀해주세요.. 업뎃도 잦은데 로그인마저 풀리니 카운터앞에서 시간잡아먹은적이 한두번이 아니어서...,3,2016-01-26
2805,잘 이용하구 있어요 좋아요~,5,2018-06-20
2806,좋습니다ㅎㅎㅎ,5,2022-06-29
2807,리부쓰면 포인트쌓이는거 개꿀,5,2016-08-05
2808,굿,5,2022-05-18
2809,사용하기편하고 좋아요,4,2022-03-26
2810,편리,5,2020-06-01
2811,제가 있는곳에서 가까운곳을 쉽게 찾을수 있구 요번 업데이트를 하면서 이벤트도 엄청 많이 하구있네요 무엇보다도 우리 회원들이 사용하기 편하게 배려한듯한 손길들이 보여 역시 야놀자구나!!  라는 생각이 절로들었습니다,5,2015-06-24
2812,상담원연결도안돼고카카오톡상담도안오고예약취소할라했는대하지도못하네요ㅠ,1,2020-11-17
2813,구관이 명관이다 중간은 간다,4,2019-02-16
2814,"대박 잡을때마다 할인쿠폰주는 어플 체고,,",5,2019-07-30
2815,할인 좋아요~~^^,5,2020-06-16
2816,더 널리널리 알려져서 모든모텔이 등록됬음함...ㅋㅋ,5,2013-12-21
2817,좋아요,4,2018-02-23
2818,젛아여,5,2020-10-24
2819,야놀자 예약 하실때 약관 꼭 읽으세요. 새벽에 취소를 해도 환불 전액 안된다고 합니다.,1,2016-09-09
2820,야놀자 초특가 야놀자,5,2020-10-07
2821,제일 좋아요,5,2015-10-14
2822,아주 편리한 앱입니다,5,2021-03-31
2823,완전조아조아,5,2020-09-13
2824,깔끔하네요 ㅎ,5,2019-10-11
2825,좋타좋아,5,2019-10-24
2826,좋네요 쿠폰도 있고요,5,2018-02-23
2827,굿굿,5,2016-09-09
2828,빠른예약 좋네여,5,2019-02-08
2829,조아요,5,2019-05-17
2830,완전 최고네요!야놀자 가즈아~~~^^,5,2018-03-12
2831,좋아요. 자주애용하고 있어요,5,2020-12-30
2832,좋아요 이벤트도 많고요,5,2019-02-18
2833,완전좋아요!,5,2015-06-28
2834,야놀자는 사랑입니다,5,2021-03-05
2835,역시나 야놀자,3,2019-07-31
2836,이앱참좋네여 ^^,5,2017-07-10
2837,사용후기 포인트 250 밖에 안줌?타 앱은 500 포인트나 주는데~ 그리고 포인트 소멸 기한 없애라~,2,2020-10-28
2838,"하*비화성무인텔에 3.9토ㅡ3.10일 8만원에 숙박 예약하고 지불했습니다. 예약하려고 오래전부터 노리다 아직 먼 일정이지만 겨우해서 기뻤습니다. 한 2주뒤인 1.28오늘 업체에서 전화가 와서 예약이 되면 안되는 토요일에 예약이 되어 취소해야한답니다. 제 짝궁이 많이 기대했던 일정인데 . 대실을 돌려야되는데 예약된 20시 입실에 맞추려면 16시부터 대실예약을 못받는답니다. 야놀자의 잘못으로 예약이 된거라고 하네요. 야놀자에서 전화했습니다. 업체측 잘못이고 자기네 잘못은 아니며 업체에서는 고객의 예약도 조건이 바뀌면 일방적으로 취소할 수 있다며 업체 잘못이 없다고 했습니다. 그리고 업체에 확인해보니 저에게 8만원이라는 너무 싼값에 빌려줘서 취소한거라고 합니다. 그러나 해당 화성지점 예약가보면 노천탕은 평일 6만원 숙박인데, 8만원이 많이 싼건지 잘 모르겠어요. 무려 한달전에 통보해주었으니 취소해도 된다는 마인드가 해당 하*비무인텔도 그렇고, 야놀자도 기대가 컸나봅니다.",1,2019-01-28
2839,여긴통신사할인도 되고 완전좋아요,5,2020-06-05
2840,좋아요^^ 저렴하고 편리하게~ 여행갈수있도록 큰도움주는 어플~,5,2018-09-08
2841,쵝오♥,5,2015-11-04
2842,할인이많아요,5,2020-01-09
2843,정리도잘되있고 쿠폰도 자주줘서 싸게싸게 숙박 잘 하는중,5,2018-07-13
2844,급여행에 이용할때 좋아요??,5,2019-03-15
2845,굿이용,5,2021-05-19
2846,정보가 많아서 좋네요,4,2019-09-22
2847,엄청 편하네요,5,2019-07-05
2848,저렴함,5,2019-04-11
2849,다양한 혜택 굿,5,2019-01-17
2850,여기어때처럼 사진으로 대놓고 사기치지 않아서 그나마 더 낫네요 오히려 실제 방이 더 나은경우가 많네요 ㅋㅋㅋ,5,2019-06-10
2851,좋음,5,2017-09-23
2852,완전조아요,5,2021-06-04
2853,할일이나 혜택이 좋네요,5,2017-12-10
2854,앱 관리도 잘되있는거 같고 할인도 좋고 편해요~ 가끔 쿠폰할인이랑 제휴할인이 중복이 안되서 아쉽기는 하지만.............,5,2020-11-07
2855,참! 좋은 시스템으로 편리한 세상에 살게 되네요! 반려견과의 쾌적한 여행을 할수가 있어서 감사 드립니다. ㅎ,4,2022-04-18
2856,쿠폰많아서좋아요,5,2017-11-24
2857,굳,5,2018-11-21
2858,매우 편해요,5,2020-01-26
2859,굳뜨,5,2017-12-25
2860,진짜 걍 최고임ㅋㅋㅋ진심 다른말이필요없어,5,2015-05-13
2861,좋아요,5,2019-07-31
2862,좋아요,5,2019-07-12
2863,굿,5,2019-07-14
2864,좋아요,5,2020-05-31
2865,굳,5,2018-10-06
2866,좋아요,5,2020-10-17
2867,잘 쓰고 있어요.,5,2019-12-02
2868,굳,3,2020-04-11
2869,잘 쓰고있습니다,4,2021-03-29
2870,자자자자자 코자자,4,2016-12-25
2871,숙박정보를 비롯해서 주변 놀거리나 관광정보까지 검색이 되니까 좋아요,5,2019-03-27
2872,편해서좋아요,5,2019-12-14
2873,좋아요,5,2019-05-30
2874,좋아요,5,2022-06-07
2875,글씨 깨져서 나옵니다... 해결점...,2,2012-08-25
2876,좋아용ㅋㅋㅋ,5,2017-08-13
2877,"지역별,가격별 저렴하게 좋은곳알아보고 갈수있는 좋은어플!",5,2015-06-26
2878,좋아용,5,2019-10-16
2879,업뎃이 너무 많아,1,2022-05-11
2880,최공,5,2019-02-13
2881,좋아요,5,2020-09-07
2882,좋아요,5,2017-10-05
2883,쉽게 진행되네요,5,2021-06-04
2884,므흐,5,2019-03-09
2885,gps가 잘못잡혀서 다른곳을 예약했는데 15분 이내에 취소 안하면 환불안된다고 돈날렸네요,1,2019-04-23
2886,겁나 조아요ㅋㅋ,5,2018-10-27
2887,good!!!,5,2019-02-08
2888,좋ㅇㄱㆍ요,5,2018-01-15
2889,편리하네요,4,2015-10-09
2890,지역에 맞게 찾을수있어서 좋아요,5,2020-01-16
2891,잘쓰고 있어요,5,2018-12-07
2892,굿편해요,5,2021-04-24
2893,EXID하니 누나 이뻐용~~~♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,5,2018-07-17
2894,방이많다,5,2021-10-29
2895,간편 편리 할인,5,2022-04-05
2896,"상담원도 완전 친절하시고 타앱보다 저렴하고 신규고객은 쿠폰까지 줘서 더 저렴하게 예매했어요 세상에 태어나서 앱 후기는 처음 남겨요 
좋아요 ㅎㅎ",5,2018-07-01
2897,최고 사용하기편해요,5,2019-05-03
2898,정확한 정보에 감사,5,2019-08-04
2899,나더 함써보자,4,2017-08-02
2900,무료숙박응모두할수있구 저렴하게이용할수도있고..조아요,5,2015-05-13
2901,좋습니다 하하,4,2018-03-09
2902,굿,5,2020-04-21
2903,동행자가 확진됐는데 예약당사자가 아니라고 취소가 안된다고 혼자서 가라네요,1,2022-02-25
2904,사용이 편함,5,2022-03-23
2905,굳,5,2018-08-28
2906,좋습니다,5,2019-01-11
2907,편리해서 좋네요~,5,2019-07-08
2908,숙박 어플 최강자입니다 굳이에요 굳굳굳,5,2017-08-13
2909,다른어플보다 괜찮네요 ㅎㅎ,5,2018-01-09
2910,가장 저렴해요 할인행사도 많이함,5,2021-12-18
2911,가격대비 너무조아요,5,2019-06-19
2912,저렴해요~,4,2020-08-10
2913,굿,5,2020-11-12
2914,굳이에요,5,2018-10-05
2915,좋아요^^,4,2021-09-27
2916,좋아요,3,2020-04-23
2917,좋아요,5,2018-08-03
2918,여긴 몰카장사안하죠?,5,2018-07-29
2919,소액결제 간편 굿,4,2020-01-10
2920,"언제나 잘 쓰고 있습니다. 다른 어플보다 할인혜택이 높은것도 있고, 무엇보다 지역별 모텔 구분이 잘 되어 있고 주소공유가 간편해서 좋았습니다. 앞으로도 잘 쓰겠습니다. ㅎ",5,2020-02-09
2921,숙박할인 쿠폰이랑 숙소잡을때 너무 좋네요,5,2020-09-30
2922,좋아요,5,2019-01-20
2923,간편하고 빨라서 좋아요,5,2020-01-11
2924,좋아요.,5,2020-06-17
2925,굳,5,2018-10-03
2926,캐시는 왜 안주죠?,5,2017-08-05
2927,굿,4,2018-07-19
2928,좋아요,4,2017-10-06
2929,굿,5,2015-06-07
2930,쿠폰도마니주고 좋음!,5,2017-10-15
2931,잘 사용하고 있습니다,5,2017-08-29
2932,이제 머물곳찾아 헤매지마세요 야놀자로 편하게 쉬다가세요,5,2018-05-02
2933,짱좋아요짱짱짱,5,2017-06-26
2934,종종 이용함,4,2017-02-03
2935,예약하기편하고 좋아요??,5,2022-04-29
2936,굿,4,2018-11-21
2937,I dont know umm...very bad,3,2018-12-16
2938,좋음,5,2018-07-18
2939,여행다닐때 유용하고 완전좋아요~,5,2019-02-04
2940,좋네요 야놀자만 이용하고 있습니다 하나 원하는건 방 시설이 좋지 않은 곳은 걸렀으면 좋겠네요,5,2019-05-05
2941,좋아용,5,2018-05-28
2942,딴말피요없음,5,2015-05-09
2943,편리함,5,2019-08-03
2944,좋아요,5,2022-03-08
2945,빠른 예약 좋음,4,2019-05-24
2946,당첨되고파요 특가!,5,2016-12-21
2947,최고에요,5,2022-03-17
2948,자세히 잘 설명 해놓았네요,3,2015-08-21
2949,좋네요,5,2019-07-30
2950,초특가 야놀자 야야야야 야놀자!!,5,2018-09-01
2951,좋아요,5,2019-11-02
2952,굳잡,5,2020-10-18
2953,편해서 좋아요,5,2017-02-08
2954,짱ㅎ,5,2015-08-23
2955,좋은정보마니알려주세요^~^,5,2018-03-15
2956,당일 예약 취소해버리는 어플을 아직도 쓰는 호구있냐?? ㅋㅋㅋㅋ,1,2021-09-05
2957,편하네요,5,2020-02-15
2958,좋아요!,5,2019-12-11
2959,매우 만족하고 잘 쓰는 중이에요!,5,2017-06-14
2960,역시 야놀자지,5,2017-11-22
2961,결제도 편하고 간편하네요 자주이용할거같아요 ㅎㅎ,5,2019-07-25
2962,다른건모르겠는데 눈으로 보고 숙방할수있는곳을 정하니 편하고 좋더라구요,5,2018-10-24
2963,가족과 여행갈때 무조건 사용하는 정말 좋은 어플이예요~~,5,2018-12-28
2964,숙소예약하기 편하고 좋아요^^,5,2019-02-10
2965,전국 다양한 숙소를 선호에 맞게 솔팅하여 볼수있어 좋아요,5,2019-06-29
2966,풍선존에서 cu크런키상품교환 두번구매를했는데 하나만 문자가왔어요 이미 풍선은 두개값이나갔는데..,5,2016-04-15
2967,좋아요 최저가,5,2019-06-18
2968,급할땐 유용한거 같아요,4,2019-03-19
2969,최고,5,2015-05-30
2970,좋아요,4,2019-03-23
2971,좋아요 좋아~~!!!,5,2018-07-26
2972,좋아요,5,2018-06-24
2973,여기어때는 숙박이 전화 예약만 가능해서 번잡했는데 바로 예약 가능하고 편하네요,5,2019-08-08
2974,숙박응모권도 생기고 좋넹ㅎ ㅋㅋ,5,2015-07-17
2975,수수료 양심 있냐??? ㅋㅋㅋㅋㅋㅋㅋ 돈벌기 참 쉬워~~,1,2021-07-18
2976,여행갈때 아주 좋아요,5,2014-06-19
2977,광고만큼가맹점많음,4,2019-02-06
2978,싸게 좋은 곳 예약할 수 있어서 너무 좋은 어플인거 같습니다,5,2018-03-11
2979,싸고좋은방이 많아요굿,4,2020-11-16
2980,좋다. 좀 더 분발해 주기를 바라며. 별하나 아낌,4,2019-11-01
2981,굿,5,2020-09-23
2982,같은 공간을 할인받고 이용하니 좋네요^^,5,2016-12-04
2983,편해요.ㅋ,4,2019-04-08
2984,편해요 어딜가든,5,2021-01-08
2985,정말간편하고 좋은어플인거같아요,5,2015-03-30
2986,잘쓰고 있습니다~굿,5,2021-01-10
2987,쿠폰 사용이 많았음 좋겠어요,5,2020-09-05
2988,ICS에서 해상도도 안맞고 글자가 깨집니다. 빠른 보수 부탁드립니다!!!!!!!,3,2012-09-20
2989,좋다,4,2018-10-20
2990,좋아요,5,2019-11-19
2991,좋아요,5,2017-10-18
2992,솔직히 써보세요. 써보시면 알게됩니다,5,2017-01-17
2993,최고의 야놀자 입니다 아주 좋아용,5,2015-08-01
2994,아주 편하고 좋습니다!,5,2022-04-09
2995,너무 편리하구편하네여,5,2020-09-06
2996,편해서좋아요,5,2018-10-01
2997,좋아요,5,2018-07-25
2998,좋음,5,2017-07-13
2999,한번 선택하면 취소를 안해줌. 심지어 예약한 곳에서 취소를해도 중간업자인 야놀자가 취소를 안해줌.,1,2020-10-22
3000,굿,5,2019-12-11
3001,좋은뎅,5,2018-09-06
3002,조아요,5,2020-09-10
3003,쿠폰도 많고 편해요.,5,2019-09-15
3004,좋아요,5,2020-07-08
3005,편리,5,2020-04-20
3006,좋아요~,5,2019-03-16
3007,좋아요,5,2019-07-31
3008,강추! 싸고 깨끗하고 편해요,5,2019-05-08
3009,숙박어플 하나 정도는 기본이지요.,5,2021-04-18
3010,가고싶었던 펜션이 다른 어플에는 없어서 야놀자를 깔고 회원가입까지했는데 어플이 보기 편해서 좋아요,5,2021-04-02
3011,굿,4,2014-10-09
3012,경찰 불렀다는 말 보고 삭제함 무서워서하겠나,1,2018-08-19
3013,편리하구 정말 좋습니다,4,2019-08-19
3014,Good,5,2018-01-22
3015,앱마다 나오는 모텔이달라서 다운받았는데 괜찮네요,5,2017-08-02
3016,좋아요할인,5,2020-07-05
3017,고속버스 할인쿠폰 적용완료 눌러도 화면 가만히 멈춰있어요. 고객센터는 전화도 안받고 카톡으로 여쭤봐도 모른다하고 뭐 이런게 다있나 모르겠네,1,2021-12-25
3018,다른 앱보다 훨좋은듯 !!,5,2021-03-16
3019,편하네요,5,2021-09-15
3020,좀 렉이 문제네요,4,2018-02-23
3021,예전부터 잘 이용했었는데 이렇게 어플이 뙇!! 생겨서 너무 좋아요 ㅋㅋㅋ 유용하게 여친이랑 데이트 할 때 마다 잘 쓸게요 ㅎㅎ 더욱 편리하게 나오면 좋겠네용 ㅎㅎ 항상 감사해요 ㅋㅋㅋ,5,2015-07-07
3022,좋네용 편하고,5,2019-01-01
3023,할인도 좋고 사용도 편리하네요,5,2022-06-07
3024,사용하기 편리합니다,3,2019-05-05
3025,숙소는 야놀자,5,2018-12-18
3026,여러가지 혜택도 받을 수 있고 전반적으로 만족할만한 어플입니다 :),4,2018-12-27
3027,좋앙,5,2018-02-03
3028,너무조아요,5,2018-01-06
3029,좋아연,5,2015-09-21
3030,선택하기도좋구 좋음!,5,2015-04-22
3031,원하는 숙소찾기 편리함,5,2021-03-22
3032,다른 숙박 어플보다 이용하기 편리한거 같음,5,2017-08-19
3033,이번에 이거이용해서가는데 제발 회원할인가 됬으면 좋겠어용 안되는데도 많다던데,5,2015-07-07
3034,이거 레벨어케올림ㅡ.ㅡ?,1,2018-10-22
3035,good,3,2018-11-18
3036,잘 쓰겠습니다~,5,2017-04-18
3037,편리해요~,5,2019-05-20
3038,"야놀자에 후기를 남겼는데 비공개 처리 당했습니다.  야놀자 측에서 제 후기를 블라인드 처리한 이유는 ""회원혜택은 제휴점 내규에 따라 적용됩니다.""라는 문구를 거론하며 제 글을 블라인드 처리했다고 하는데,  해당 업체의 제휴점 내규가 불만사항이면 그 사항에 대해 후기로 작성하는 것이 맞다고 생각합니다. 또한 위에서 말했던 저 회원혜택은 제휴점 내규에 따라 적용된다는 저 문구는 업체 개별정보 페이지에서 확인할 수 있다고 하는데 도데체 그 페이지는 어디서 어떻게 확인할 수 있는지 알려주십시오.  그리고 그런 내용으로 비공개처리를 할 것이면 후기 운영원칙에 적어놔야지 찾기도 어려운 업체 개별정보 페이지에 써놓고 그걸 거론하며 제 후기를 비공개 처리합니까? 좀 어이없고 이런식으로 비공개처리하지 마십시오. 아니라고 했지만 단순 부정적인 내용 비공개처리로밖에 보이지 않습니다",1,2015-12-04
3039,좋아요,5,2020-02-03
3040,간단하고 좋아요^^,5,2018-07-29
3041,좋아요~~,5,2020-06-22
3042,좋아요,5,2019-09-24
3043,좋돰,5,2017-08-01
3044,최고,5,2019-12-11
3045,대박좋음,5,2019-03-20
3046,좋아요,4,2019-01-20
3047,저렴하고 편리하게 이용할수있네요~^^감사합니다^^,5,2021-06-04
3048,좋네용~~~,5,2019-05-13
3049,굿잡,5,2020-09-05
3050,여기만한 어플없는듯,5,2019-03-13
3051,쿠폰할인등 서비스만족 굿,5,2019-08-01
3052,편해요,5,2019-01-25
